height,name,truncated,xmin,ymin,xmax,ymax,image,width
480,Sloper,0,269,291,399,362,0001,874
480,Sloper,0,518,180,576,227,0001,874
480,Sloper,0,555,321,583,349,0001,874
480,Crimps,0,409,261,438,289,0001,874
480,Crimps,0,304,368,335,402,0001,874
480,Crimps,1,318,459,348,480,0001,874
480,Crimps,0,355,174,369,195,0001,874
480,Pinches,0,58,351,137,470,0001,874
480,Crimps,0,203,303,222,321,0001,874
480,Sloper,0,775,261,797,301,0001,874
480,Jugs,0,640,176,658,200,0001,874
480,Sloper,0,685,306,722,357,0001,874
480,Crimps,0,117,262,193,285,0001,874
480,Crimps,0,139,237,200,267,0001,874
480,Pinches,0,662,370,696,445,0001,874
480,Pinches,0,792,342,870,447,0001,874
480,Jugs,0,674,255,692,283,0001,874
480,Jugs,0,697,357,722,393,0001,874
480,Crimps,0,214,243,231,261,0001,874
480,Crimps,0,6,276,44,340,0001,874
480,Jugs,1,774,414,804,480,0001,874
480,Pinches,1,837,162,874,189,0001,874
480,Pinches,1,825,240,874,276,0001,874
480,Sloper,0,644,159,664,183,0001,874
480,Volumes,1,500,457,593,480,0001,874
480,Pinches,1,1,436,36,480,0001,874
480,Crimps,0,187,142,211,158,0001,874
480,Crimps,0,126,128,149,139,0001,874
480,Crimps,0,300,132,330,144,0001,874
480,Crimps,0,195,122,214,130,0001,874
480,Crimps,0,399,137,434,146,0001,874
854,Pinches,0,171,103,228,156,0002,480
854,Crimps,0,303,169,336,188,0002,480
854,Crimps,0,306,198,345,222,0002,480
854,Crimps,0,314,218,353,241,0002,480
854,Pockets,0,141,334,168,360,0002,480
854,Pockets,0,147,424,177,450,0002,480
854,Pockets,0,367,123,431,223,0002,480
854,Sloper,0,432,161,477,201,0002,480
854,Pinches,0,270,31,307,58,0002,480
854,Crimps,0,141,307,156,332,0002,480
854,Sloper,0,72,368,102,399,0002,480
854,Pinches,0,84,129,111,152,0002,480
854,Crimps,0,237,40,258,59,0002,480
854,Sloper,0,243,37,312,95,0002,480
854,Crimps,0,416,17,449,53,0002,480
854,Sloper,0,63,19,96,57,0002,480
854,Sloper,0,90,44,120,80,0002,480
854,Jugs,0,266,284,296,311,0002,480
854,Jugs,0,224,272,266,308,0002,480
854,Jugs,0,201,272,219,292,0002,480
854,Sloper,0,121,500,136,521,0002,480
854,Crimps,0,309,378,322,394,0002,480
854,Crimps,0,290,322,305,339,0002,480
854,Pinches,0,229,485,260,510,0003,480
854,Jugs,0,396,427,438,464,0003,480
854,Sloper,0,302,98,329,124,0003,480
854,Volumes,0,200,173,278,305,0003,480
854,Volumes,0,385,117,478,271,0003,480
854,Volumes,0,261,54,423,318,0003,480
854,Crimps,0,124,490,171,551,0003,480
854,Pinches,0,170,573,200,593,0003,480
854,Sloper,0,102,632,165,671,0003,480
854,Crimps,0,150,621,174,634,0003,480
854,Pinches,0,89,602,107,628,0003,480
854,Sloper,0,191,69,227,114,0003,480
854,Crimps,0,261,356,276,370,0003,480
854,Crimps,0,237,409,252,421,0003,480
854,Crimps,0,207,408,222,420,0003,480
854,Crimps,0,255,409,267,421,0003,480
854,Jugs,0,213,311,237,330,0003,480
854,Jugs,0,213,159,240,178,0003,480
854,Jugs,0,133,453,153,485,0003,480
854,Crimps,0,346,516,360,529,0003,480
854,Crimps,0,354,494,366,505,0003,480
854,Sloper,0,405,579,446,601,0003,480
854,Sloper,0,444,503,477,525,0003,480
854,Sloper,0,181,349,208,377,0003,480
854,Sloper,0,159,413,187,442,0003,480
854,Jugs,0,426,367,451,397,0003,480
854,Sloper,0,340,315,359,340,0003,480
854,Jugs,0,38,486,59,515,0003,480
854,Jugs,0,7,410,36,436,0003,480
854,Crimps,0,42,343,57,356,0003,480
854,Crimps,0,10,546,25,559,0003,480
854,Crimps,0,39,569,51,582,0003,480
854,Crimps,0,65,641,80,654,0003,480
854,Pinches,0,8,165,50,190,0003,480
854,Jugs,0,6,311,42,383,0003,480
854,Crimps,1,1,236,12,252,0003,480
854,Jugs,0,22,76,46,98,0003,480
854,Sloper,0,228,323,276,378,0004,480
854,Crimps,0,201,356,222,379,0004,480
854,Crimps,0,199,508,217,522,0004,480
854,Crimps,0,262,577,276,591,0004,480
854,Crimps,0,253,267,282,286,0004,480
854,Crimps,0,260,258,284,270,0004,480
854,Crimps,0,285,24,309,44,0004,480
854,Crimps,0,330,71,339,82,0004,480
854,Volumes,1,245,1,392,151,0004,480
854,Volumes,1,393,1,480,153,0004,480
854,Volumes,1,394,155,480,365,0004,480
854,Volumes,0,65,155,394,444,0004,480
854,Sloper,0,174,456,238,495,0005,480
854,Crimps,0,198,380,222,398,0005,480
854,Sloper,0,358,311,400,344,0005,480
854,Sloper,0,255,377,333,443,0005,480
854,Sloper,0,345,399,391,451,0005,480
854,Jugs,0,305,321,326,338,0005,480
854,Jugs,0,133,372,157,390,0005,480
854,Sloper,0,45,273,72,308,0005,480
854,Sloper,0,182,412,199,428,0005,480
854,Sloper,0,214,330,235,353,0005,480
854,Sloper,0,53,455,71,471,0005,480
854,Pinches,0,166,541,200,564,0005,480
854,Sloper,0,371,446,401,488,0005,480
854,Jugs,0,222,271,240,286,0005,480
854,Sloper,0,262,320,282,337,0005,480
854,Jugs,0,282,289,294,302,0005,480
854,Jugs,0,271,283,284,295,0005,480
854,Crimps,0,426,350,441,363,0005,480
854,Jugs,0,18,344,43,368,0005,480
854,Jugs,0,85,324,103,341,0005,480
854,Crimps,0,73,355,93,369,0005,480
854,Sloper,0,10,317,40,335,0005,480
854,Jugs,0,3,282,25,303,0005,480
854,Pinches,0,15,496,33,517,0005,480
854,Jugs,0,16,445,40,465,0005,480
854,Sloper,0,223,536,242,552,0005,480
854,Crimps,0,251,461,262,473,0005,480
854,Crimps,0,3,255,24,271,0005,480
854,Volumes,0,337,308,413,370,0005,480
854,Volumes,0,394,431,419,462,0005,480
854,Pinches,1,450,529,480,562,0005,480
854,Crimps,0,424,591,439,604,0005,480
854,Volumes,0,394,581,450,634,0005,480
854,Crimps,0,328,455,339,463,0005,480
854,Crimps,0,340,463,349,471,0005,480
854,Sloper,1,454,405,480,437,0005,480
854,Volumes,0,433,386,479,448,0005,480
854,Sloper,0,339,420,369,456,0005,480
854,Sloper,0,248,429,267,445,0005,480
854,Crimps,0,244,509,257,521,0005,480
854,Sloper,0,274,443,292,458,0005,480
854,Crimps,1,1,499,15,518,0005,480
854,Sloper,0,324,515,345,528,0005,480
854,Sloper,0,380,671,404,684,0005,480
854,Sloper,0,402,662,420,676,0005,480
854,Sloper,0,414,642,433,657,0005,480
854,Crimps,0,341,581,352,593,0005,480
854,Crimps,0,331,568,340,581,0005,480
854,Crimps,0,440,507,448,517,0005,480
854,Pinches,0,153,548,168,563,0005,480
854,Sloper,0,72,471,97,509,0005,480
854,Crimps,0,187,494,211,505,0005,480
600,Crimps,0,97,224,116,246,0006,480
600,Crimps,0,153,214,172,230,0006,480
600,Crimps,0,166,197,180,220,0006,480
600,Crimps,0,184,190,196,215,0006,480
600,Pinches,0,206,134,252,199,0006,480
600,Crimps,0,336,227,374,260,0006,480
600,Crimps,0,378,206,413,226,0006,480
600,Jugs,0,89,356,108,372,0006,480
600,Crimps,0,24,369,39,381,0006,480
600,Crimps,0,80,349,91,358,0006,480
600,Sloper,0,56,246,97,284,0006,480
600,Sloper,0,134,156,177,190,0006,480
600,Sloper,0,47,113,89,149,0006,480
600,Crimps,0,72,189,86,205,0006,480
600,Pockets,0,110,73,132,90,0006,480
600,Crimps,0,47,68,62,82,0006,480
600,Crimps,0,283,96,295,110,0006,480
600,Crimps,0,285,62,297,75,0006,480
600,Crimps,0,375,10,385,26,0006,480
600,Crimps,0,419,55,439,76,0006,480
600,Sloper,0,325,79,411,128,0006,480
600,Crimps,0,352,130,370,154,0006,480
600,Crimps,0,364,184,379,200,0006,480
600,Crimps,0,250,254,279,269,0006,480
600,Crimps,0,320,266,340,279,0006,480
600,Crimps,0,385,261,414,279,0006,480
600,Crimps,0,230,78,278,93,0006,480
600,Sloper,0,242,65,279,83,0006,480
600,Sloper,0,161,96,180,141,0006,480
600,Sloper,0,173,95,192,132,0006,480
600,Crimps,0,256,10,272,20,0006,480
600,Crimps,0,162,332,207,348,0006,480
600,Pinches,0,452,276,469,302,0006,480
854,Sloper,0,237,358,355,431,0007,480
854,Sloper,0,58,563,103,648,0007,480
854,Pinches,0,252,220,295,281,0007,480
854,Pinches,0,79,141,111,166,0007,480
854,Pinches,0,389,351,406,371,0007,480
854,Sloper,0,217,243,247,327,0007,480
854,Jugs,0,147,168,169,191,0007,480
854,Sloper,0,314,167,344,234,0007,480
854,Sloper,0,338,223,372,272,0007,480
854,Pinches,0,420,184,442,215,0007,480
854,Jugs,0,120,277,139,295,0007,480
